"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",5500,3.53,30.4,"Not eqipped",0.0037,0.0565,359,0.0075,24.7,"Three-way catalyst"
2011,"Bentley","Mulsanne","Car",505,8,"Semi-Automatic",8,"2-Wheel Drive, Rear",6000,2.92,22.3,"Not eqipped",0.0118786,0.0806486,379.3366325,0.008875,23.4,"Three-way catalyst"
2011,"BMW","328Ci Convertible","Car",230,6,"Manual",6,"2-Wheel Drive, Rear",4000,3.38,39.6,"Not eqipped",0.00156,0,248.3,0.0014,35.9,"Three-way catalyst"
2011,"BMW","328xi","Car",230,6,"Manual",6,"All Wheel Drive",3875,3.38,40,"Not eqipped",0.00045,0,255.29,0.002,34.9,"Three-way catalyst"
2011,"BMW","335i","Car",300,,"Manual",6,"2-Wheel Drive, Rear",3875,3.08,37.1,"Not eqipped",0.00089,0,237.63,0.0036,37.2,
2011,"BMW","335i","Car",300,,"Manual",6,"2-Wheel Drive, Rear",3875,3.08,37.1,"Not eqipped",0.00043,0,244.43,0.0039,36.3,
2011,"BMW","335is Convertible","Car",320,6,"Semi-Automatic",7,"2-Wheel Drive, Rear",4250,2.56,35.5,"Not eqipped",0.00043,0,248.23,0.0018,35.8,"Three-way catalyst"
2011,"BMW","128i","Both",230,6,"Manual",6,"2-Wheel Drive, Rear",3500,3.23,37.8,"Not eqipped",0.00047,0.0006,216.4,0.001,40.9,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Manual",6,"2-Wheel Drive, Rear",3875,3.23,38,"Not eqipped",0.00104,0.0036,235.08,0.0022,37.9,"Three-way catalyst"
2011,"BMW","128i Convertible","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3875,3.73,34.5,"Not eqipped",0.00086,0.0042,239.74,0.0015,37,"Three-way catalyst"
2011,"BMW","335d","Car",265,6,"Automatic",6,"2-Wheel Drive, Rear",4000,2.81,26.9,"Not eqipped",0.0072388,0.0047062,199.2551875,0.0084851,51.1,"Oxidation catalyst"
2011,"BMW","335d","Car",265,6,"Automatic",6,"2-Wheel Drive, Rear",4000,2.81,26.9,"Not eqipped",0.0072388,0.0047062,199.2551875,0.0084851,51.1,"Diesel Particulate Filter"
2011,"BMW","335d","Car",265,6,"Automatic",6,"2-Wheel Drive, Rear",4000,2.81,26.9,"Not eqipped",0.0072388,0.0047062,199.2551875,0.0084851,51.1,"Selective Catalytic Reduction"
2011,"BMW","328Ci Convertible","Car",230,6,"Manual",6,"2-Wheel Drive, Rear",4000,3.38,39.7,"Not eqipped",0,0.0057,241.67,0.0007,36.7,"Three-way catalyst"
2011,"BMW","328i","Car",230,,"Manual",6,"2-Wheel Drive, Rear",3625,3.23,38.1,"Not eqipped",0.00221,0.0058,232.8,0.0011,38.2,
2011,"BMW","328i","Car",230,,"Manual",6,"2-Wheel Drive, Rear",3625,3.23,37.9,"Not eqipped",0.00137,0.0063,238.35,0.0007,37.4,
2011,"BMW","328i","Both",230,6,"Manual",6,"All Wheel Drive",4000,3.38,40,"Not eqipped",0.00089,0.0063,249.44,0.0017,35.8,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Manual",6,"2-Wheel Drive, Rear",4000,3.23,39.7,"Not eqipped",0.00103,0.007,238.75,0.001,37.3,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"All Wheel Drive",3875,3.91,37.6,"Not eqipped",0.00005,0.0076,250.39,0.0026,35.5,"Three-way catalyst"
2011,"BMW","328i","Car",230,,"Semi-Automatic",6,"2-Wheel Drive, Rear",3750,3.73,35,"Not eqipped",0.00072,0.0087,235.08,0.0003,37.9,
2011,"BMW","328i","Both",230,6,"Manual",6,"2-Wheel Drive, Rear",3875,3.23,38,"Not eqipped",0.00413,0.0091,229.65,0.0012,38.7,"Three-way catalyst"
2011,"BMW","128i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3625,3.73,34.5,"Not eqipped",0.00109,0.0093,218.41,0.0021,40.8,"Three-way catalyst"
2011,"BMW","328i","Car",230,,"Semi-Automatic",6,"2-Wheel Drive, Rear",3750,3.73,35,"Not eqipped",0.00292,0.0133,227.27,0.0003,39.2,
2011,"BMW","328i","Both",230,6,"Manual",6,"2-Wheel Drive, Rear",4000,3.23,39.7,"Not eqipped",0.00083,0.0134,241.49,0.0015,37,"Three-way catalyst"
2011,"BMW","128i Convertible","Both",230,,"Manual",6,"2-Wheel Drive, Rear",3750,3.23,37.8,"Not eqipped",0.0027426,0.0135388,230.3951358,0.0016799,38.7,
2011,"BMW","328Ci","Both",230,,"Manual",6,"2-Wheel Drive, Rear",3625,3.23,38,"Not eqipped",0.00054,0.014,230.94,0.0019,38.2,
2011,"BMW","328Ci","Both",230,,"Manual",6,"2-Wheel Drive, Rear",3625,3.23,38,"Not eqipped",0.00106,0.0141,225.87,0.0016,39.1,
2011,"BMW","335is Coupe","Car",320,6,"Semi-Automatic",7,"2-Wheel Drive, Rear",3875,2.56,35.5,"Not eqipped",0.00395,0.0149,279.47,0.0048,31.9,"Three-way catalyst"
2011,"BMW","128i","Car",230,6,"Manual",6,"2-Wheel Drive, Rear",3500,3.23,37.8,"Not eqipped",0.00004,0.0163,230.36,0.0011,38.7,"Three-way catalyst"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.01882,0.0165,276.99,0.0008,36.7,"Diesel Particulate Filter"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.01882,0.0165,276.99,0.0008,36.7,"Oxidation catalyst"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.01882,0.0165,276.99,0.0008,36.7,"Selective Catalytic Reduction"
2011,"BMW","328xiA","Car",230,6,"Semi-Automatic",6,"All Wheel Drive",3875,3.91,36.6,"Not eqipped",0.00005,0.0178,245.65,0.0002,36.2,"Three-way catalyst"
2011,"BMW","128i Convertible","Car",230,6,"Manual",6,"2-Wheel Drive, Rear",3750,3.23,37.8,"Not eqipped",0.00034,0.0182,235.11,0.0014,37.9,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3875,3.73,34.9,"Not eqipped",0.0004,0.0182,224.69,0.0026,39.6,"Three-way catalyst"
2011,"BMW","335is Coupe","Car",320,6,"Semi-Automatic",7,"2-Wheel Drive, Rear",3875,2.56,35.5,"Not eqipped",0.00141,0.0189,249.37,0.0163,35.7,"Three-way catalyst"
2011,"BMW","335Ci Convertible","Car",300,,"Manual",6,"2-Wheel Drive, Rear",4250,3.08,37.1,"Not eqipped",0.00046,0.0207,244.63,0.0054,36.4,
2011,"BMW","335Ci Convertible","Car",300,,"Manual",6,"2-Wheel Drive, Rear",4250,3.08,37.1,"Not eqipped",0.00075,0.021,250.75,0.00268,35.5,
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3875,3.73,34.9,"Not eqipped",0.00046,0.0211,228.12,0.0044,39.1,"Three-way catalyst"
2011,"BMW","Z4 sDrive35is","Car",335,6,"Semi-Automatic",7,"2-Wheel Drive, Rear",3875,2.56,35.3,"Not eqipped",0.00225,0.0213,235.78,0.0028,37.6,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",3750,3.73,34.9,"Not eqipped",0.0003,0.0221,217.58,0.0026,40.9,"Three-way catalyst"
2011,"BMW","128i Convertible","Car",230,6,"Semi-Automatic",6,"2-Wheel Drive, Rear",3875,3.73,34.7,"Not eqipped",0,0.0225,236.56,0.0003,37.6,"Three-way catalyst"
